"id";"week_number";"match_date";"match_time";"home_score";"away_score";"is_played";"away_team_id";"home_team_id"
1;1;"2025-06-29";"06:00 PM";1;1;1;1;5
2;1;"2025-06-29";"06:45 PM";0;2;1;8;2
3;1;"2025-06-29";"07:30 PM";3;1;1;6;7
4;1;"2025-06-29";"08:15 PM";3;1;1;9;11
5;1;"2025-06-29";"09:00 PM";0;0;1;3;4
6;1;"2025-06-29";"09:45 PM";2;11;1;10;12
7;2;"2025-07-06";"06:00 PM";5;0;1;6;3
8;2;"2025-07-06";"06:45 PM";2;3;1;4;5
9;2;"2025-07-06";"07:30 PM";2;6;1;10;8
10;2;"2025-07-06";"08:15 PM";5;0;1;9;7
11;2;"2025-07-06";"09:00 PM";8;0;1;12;1
12;2;"2025-07-06";"09:45 PM";3;3;1;11;2
13;3;"2025-07-13";"06:00 PM";1;2;1;10;2
14;3;"2025-07-13";"06:45 PM";3;4;1;4;12
15;3;"2025-07-13";"07:30 PM";3;1;1;11;7
16;3;"2025-07-13";"08:15 PM";0;9;1;3;9
17;3;"2025-07-13";"09:00 PM";0;2;1;5;6
18;3;"2025-07-13";"09:45 PM";3;2;1;1;8
19;4;"2025-07-20";"06:00 PM";3;3;1;8;4
20;4;"2025-07-20";"06:45 PM";3;3;1;5;9
21;4;"2025-07-20";"07:30 PM";2;3;1;6;12
22;4;"2025-07-20";"08:15 PM";3;1;1;11;10
23;4;"2025-07-20";"09:00 PM";2;2;1;2;1
24;4;"2025-07-20";"09:45 PM";1;1;1;7;3
25;5;"2025-07-27";"06:00 PM";2;2;1;12;9
26;5;"2025-07-27";"06:45 PM";1;3;1;1;10
27;5;"2025-07-27";"07:30 PM";4;0;1;4;2
28;5;"2025-07-27";"08:15 PM";3;1;1;6;8
29;5;"2025-07-27";"09:00 PM";1;3;1;3;11
30;5;"2025-07-27";"09:45 PM";2;3;1;5;7
31;6;"2025-08-03";"06:00 PM";1;1;1;3;5
32;6;"2025-08-03";"06:45 PM";0;7;1;10;4
33;6;"2025-08-03";"07:30 PM";0;7;1;7;12
34;6;"2025-08-03";"08:15 PM";1;9;1;2;6
35;6;"2025-08-03";"09:00 PM";5;1;1;9;8
36;6;"2025-08-03";"09:45 PM";5;4;1;11;1
37;7;"2025-08-10";"06:00 PM";5;1;1;6;10
38;7;"2025-08-10";"06:45 PM";3;0;1;9;2
39;7;"2025-08-10";"07:30 PM";3;2;1;4;1
40;7;"2025-08-10";"08:15 PM";2;2;1;8;7
41;7;"2025-08-10";"09:00 PM";7;1;1;12;3
